Short Frame	_ws.short
Malformed Packet	_ws.malformed
Unreassembled Fragmented Packet	_ws.unreassembled
Type Length Mismatch	_ws.type_length
Byte Array-String Decoding Error	_ws.byte_array_string.decoding_error
Date and Time-String Decoding Error	_ws.date_time_string.decoding_error
String Errors	_ws.string
Wireshark Field/Fundamental Types	_ws.ftypes
Wireshark Columns	_ws.col
IEEE 1722 Audio Video Transport Protocol (AVTP)	ieee1722
IEEE 1722.1 Protocol	ieee17221
IEC 61883 Protocol	iec61883
AVTP Audio Format	aaf
ACF Message	acf
ACF CAN	acf-can
ACF LIN	acf-lin
Clock Reference Format	crf
AVTP Compressed Video Format	cvf
Non-Time-Synchronous Control Format	ntscf
Time-Synchronous Control Format	tscf
Pro-MPEG Code of Practice #3 release 2 FEC Protocol	2dparityfec
3Com XNS Encapsulation	3comxns
IPv6 over Low power Wireless Personal Area Networks	6lowpan
Plan 9	9p
AllJoyn Name Service Protocol	ajns
AllJoyn Message Protocol	aj
AllJoyn Reliable Datagram Protocol	ardp
FiveCo's Legacy Register Access Protocol	5co_legacy
FiveCo RAP Register Access Protocol	5co_rap
HI2Operations	HI2operations
ISystemActivator ISystemActivator Resolver	isystemactivator
S101	s101
3GPP2 A11	a11
A21 Protocol	a21
Arinc 615a Protocol	a615a
Find Identification of Network Devices	find
Appletalk Address Resolution Protocol	aarp
Aastra Signalling Protocol	aasp
Ericsson A-bis OML	gsm_abis_om2000
GSM A-bis OML	gsm_abis_oml
GSM A-bis P-GSL	gsm_abis_pgsl
GSM A-bis TFP	gsm_abis_tfp
Application Configuration Access Protocol	acap
AUDIOCODES DEBUG RECORDING	acdr
Architecture for Control Networks	acn
Magic Bullet	magic
RDMnet	rdmnet
ACP133 Attribute Syntaxes	acp133
Advanced Card Systems ACR122	acr122
ISO 8650-1 OSI Association Control Service	acse
ISO 10035-1 OSI Connectionless Association Control Service	clacse
AudioCodes Trunk Trace	actrace
Android Debug Bridge	adb
Android Debug Bridge Client-Server	adb_cs
Android Debug Bridge Service	adb_service
ADwin communication protocol	adwin
ADwin configuration protocol	adwin_config
Aeron Protocol	aeron
Apple Filing Protocol	afp
Andrew File System (AFS)	afs
AgentX	agentx
AOL Instant Messenger	aim
AIM Administrative	aim_admin
AIM Advertisements	aim_adverts
AIM Privacy Management Service	aim_bos
AIM Buddylist Service	aim_buddylist
AIM Chat Service	aim_chat
AIM Chat Navigation	aim_chatnav
AIM Directory Search	aim_dir
AIM E-mail	aim_email
AIM Generic Service	aim_generic
AIM ICQ	aim_icq
AIM Invitation Service	aim_invitation
AIM Location	aim_location
AIM Messaging	aim_messaging
AIM Popup	aim_popup
AIM Signon	aim_signon
AIM Server Side Info	aim_ssi
AIM Server Side Themes	aim_sst
AIM Statistics	aim_stats
AIM Translate	aim_translate
AIM User Lookup	aim_lookup
Advanced Intelligent Network	ain
Apache JServ Protocol v1.3	ajp13
Asynchronous Layered Coding	alc
AAL type 2 signalling protocol (Q.2630)	alcap
ATSC Link-Layer Protocol	alp
Action Message Format	amf
AMP	amp
Advanced Message Queuing Protocol	amqp
AMQP Version 0.9	amqp.version.v0_9
AMQP Version 0.10	amqp.version.v0_10
AMQP Version 1.0	amqp.version.v1_0
Adaptive Multi-Rate	amr
Adaptive Multi-Rate WB	amr_wb
Automatic Multicast Tunneling	amt
Access Node Control Protocol	ancp
Intel ANS probe	ans
ANSI IS-637-A (SMS) Teleservice Layer	ansi_637_tele
ANSI IS-637-A (SMS) Transport Layer	ansi_637_trans
ANSI IS-683 (OTA (Mobile))	ansi_683
ANSI IS-801 (Location Services (PLD))	ansi_801
ANSI A-I/F BSMAP	ansi_a_bsmap
ANSI A-I/F DTAP	ansi_a_dtap
ANSI Mobile Application Part	ansi_map
ANSI Transaction Capabilities Application Part	ansi_tcap
Ad hoc On-demand Distance Vector Routing Protocol	aodv
ATAoverEthernet	aoe
America Online	aol
SINEC AP Telegram	sinecap
Apple IP-over-IEEE 1394	ap1394
Apple Network-MIDI Session Protocol	applemidi
Automatic Position Reporting System	aprs
aptX Codec	aptx
AR Drone Packet	ar_drone
ARCNET	arcnet
The Armagetron Advanced OpenGL Tron clone	armagetronad
Address Resolution Protocol	arp
ATM Address Resolution Protocol	atmarp
Artemis Core Protocol	artemis
Art-Net	artnet
Aruba Discovery Protocol	adp
Aruba Networks encapsulated remote mirroring	aruba_erm
Aruba Networks encapsulated remote mirroring - PCAP (Type 0)	aruba_erm_type0
Aruba Networks encapsulated remote mirroring - PEEK (Type 1)	aruba_erm_type1
Aruba Networks encapsulated remote mirroring - AIRMAGNET (Type 2)	aruba_erm_type2
Aruba Networks encapsulated remote mirroring - PCAP+RADIO (Type 3)	aruba_erm_type3
Aruba Networks encapsulated remote mirroring - PPI (Type 4)	aruba_erm_type4
Aruba Networks encapsulated remote mirroring - PEEK (Type 5)	aruba_erm_type5
Aruba Networks encapsulated remote mirroring - RADIOTAP (Type 6)	aruba_erm_type6
Aruba Instant AP Protocol	aruba_iap
ASAM Capture Module Protocol	asam-cmp
Aggregate Server Access Protocol	asap
Lucent/Ascend debug output	ascend
Alert Standard Forum	asf
Asphodel	asphodel
ASTERIX packet	asterix
AT Command	at
Allied Telesis Loop Detection	atldf
LocalTalk Link Access Protocol	llap
Datagram Delivery Protocol	ddp
Name Binding Protocol	nbp
AppleTalk Transaction Protocol packet	atp
AppleTalk Session Protocol	asp
Printer Access Protocol	prap
Zone Information Protocol	zip
Routing Table Maintenance Protocol	rtmp
Apache Tribes Heartbeat Protocol	ath
Asynchronous Transfer Mode	atm
ATM AAL1	aal1
ATM AAL3/4	aal3_4
ATM OAM AAL	oamaal
ILMI	ilmi
ATM LAN Emulation	lane
ATM over TCP	atmtcp
ICAO Doc9705 CM	atn-cm
ICAO Doc9705 CPDLC	atn-cpdlc
ICAO Doc9705 ULCS	atn-ulcs
Cisco Auto-RP	auto_rp
AUTOSAR I-PDU Multiplexer	ipdum
AUTOSAR Network Management	autosar-nm
Arista Vendor Specific Protocol	avsp
Apple Wireless Direct Link data frame	awdl_data
Apple Wireless Direct Link action frame	awdl
Amateur Radio AX.25	ax25
AX.25 KISS	ax25_kiss
AX.25 no Layer 3	ax25_nol3
DX cluster	dx
AX/4000 Test Block	ax4000
Anything in Anything Protocol	ayiya
Babel Routing Protocol	babel
Building Automation and Control Network APDU	bacapp
Building Automation and Control Network NPDU	bacnet
PPP Bandwidth Allocation Control Protocol	bacp
Favored-Peer	bacp.opt.favored_peer
Twisted Banana	banana
PPP Bandwidth Allocation Protocol	bap
Link Type	bap.opt.link_type
Phone Delta	bap.opt.phone_delta
No Phone Number Needed	bap.opt.no_phone
Reason	bap.opt.reason
Link Discriminator	bap.opt.link_disc
Call Status	bap.opt.call_status
Logical-Link Control Basic Format XID	basicxid
B.A.T.M.A.N. Layer 3 Protocol	bat
B.A.T.M.A.N. GW	bat.gw
B.A.T.M.A.N. Vis	bat.vis
B.A.T.M.A.N. Advanced Protocol	batadv
Black Box Log	bblog
PPP Bridging Control Protocol Bridged PDU	bcp_bpdu
PPP Bridging Control Protocol Network Control Protocol	bcp_ncp
Bridge-Identification	bcp_ncp.opt.bridge_id
Line-Identification	bcp_ncp.opt.line_id
MAC-Support	bcp_ncp.opt.mac_sup
Tinygram-Compression	bcp_ncp.opt.tinygram_comp
LAN-Identification (obsoleted)	bcp_ncp.opt.lan_id
MAC-Address	bcp_ncp.opt.mac_addr
Spanning-Tree-Protocol (old formatted)	bcp_ncp.opt.stp
IEEE 802 Tagged Frame	bcp_ncp.opt.ieee_802_tagged_frame
Management Inline	bcp_ncp.opt.management_inline
Bridge Control Packet Indicator	bcp_ncp.opt.bcp_ind
BCTP Q.1990	bctp
Blocks Extensible Exchange Protocol	beep
Bencode	bencode
Basic Encoding Rules (ASN.1 X.690)	ber
Binary Floor Control Protocol	bfcp
Bidirectional Forwarding Detection Control Message	bfd
Bidirectional Forwarding Detection Echo Packet	bfd_echo
Border Gateway Protocol	bgp
Bearer Independent Call Control	bicc
3GPP BICC MST	bicc_mst
Bitcoin protocol	bitcoin
BitTorrent	bittorrent
Canon BJNP	bjnp
BLIP Couchbase Mobile	blip
bluecom Protocol	bluecom
Bluetooth	bluetooth
Broadcast/Multicast Control	bmc
BGP Monitoring Protocol	bmp
Wellfleet Breath of Life	bofl
Boot Parameters	bootparams
Spanning Tree Protocol	stp
Amateur Radio BPQ	bpq
DTN Bundle Protocol Security	bpsec
Bundle Protocol	bundle
DTN Bundle Protocol Version 7	bpv7
BPv7 Block Type	bpv7.block_type
BPv7 Administrative Record	bpv7.admin_rec
BPv7 Administrative Record Type	bpv7.admin_record_type
Broadcom tag protocol	brcm-tag
Boardwalk	brdwlk
BRP Protocol	brp
BSSAP	bssap
BSSAP2	bssap_plus
BSAP	bsap
BSSAP-LE	bssap_le
Base Station Subsystem GPRS Protocol	bssgp
Bluetooth 3DS Profile	bt3ds
BitTorrent DHT Protocol	bt-dht
BitTorrent Tracker	bt-tracker
uTorrent Transport Protocol	bt-utp
Bluetooth A2DP Profile	bta2dp
Bluetooth A2DP Content Protection Header SCMS-T	bta2dp_content_protection_header_scms_t
AltBeacon	alt_beacon
Apple iBeacon	ibeacon
Google/Apple Exposure Notification	bluetooth.gaen
Bluetooth AMP Packet	btamp
Bluetooth Attribute Protocol	btatt
Bluetooth AVCTP Protocol	btavctp
Bluetooth AVDTP Protocol	btavdtp
Bluetooth AVRCP Profile	btavrcp
Bluetooth BNEP Protocol	btbnep
Bluetooth Pseudoheader for BR/EDR	btbredr_rf
Bluetooth BR/EDR FHS	btbredr_fhs
Bluetooth Common	btcommon
Bluetooth DUN Packet	btdun
Bluetooth GATT Attribute Protocol	btgatt
Bluetooth GNSS Profile	btgnss
Bluetooth HCI ACL Packet	bthci_acl
Bluetooth HCI Command	bthci_cmd
Bluetooth HCI Event	bthci_evt
Bluetooth HCI ISO Packet	bthci_iso
Bluetooth HCI SCO Packet	bthci_sco
Bluetooth Broadcom HCI	bthci_vendor.broadcom
Bluetooth Intel HCI	bthci_vendor.intel
Bluetooth HCRP Profile	bthcrp
Bluetooth HFP Profile	bthfp
Bluetooth HID Profile	bthid
Bluetooth HSP Profile	bthsp
Bluetooth L2CAP Protocol	btl2cap
Bluetooth Low Energy Link Layer	btle
Bluetooth Low Energy RF Info	btle_rf
Bluetooth Link Manager Protocol	btlmp
Bluetooth MCAP Protocol	btmcap
Bluetooth Mesh	btmesh
Bluetooth Mesh Beacon	beacon
Bluetooth Mesh PB-ADV	pbadv
Bluetooth Mesh Provisioning PDU	provisioning
Bluetooth Mesh Proxy	btmproxy
BTP-A	btpa
BTP-B	btpb
Bluetooth RFCOMM Protocol	btrfcomm
Bluetooth SAP Profile	btsap
Bluetooth SDP Protocol	btsdp
Bluetooth Security Manager Protocol	btsmp
Symbian OS BTSNOOP File Format	btsnoop
Bluetooth SPP Packet	btspp
Bluetooth VDP Profile	btvdp
Bluetooth VDP Content Protection Header SCMS-T	btvdp_content_protection_header_scms_t
DCE/DFS BUDB	budb
DCE/RPC BUTC	butc
BACnet Virtual Link Control	bvlc
BACnet Secure Connect Virtual Link Control	bscvlc
Bazaar Smart Protocol	bzr
ANSI C12.22	c1222
C15 Call History Common Header Protocol	c15.ch
C15 Call History Protocol	c15
C15 Tone	c15.tone
C15 Incoming GWE	c15.inc_gwe
C15 Outgoing GWE	c15.out_gwe
C15 Call History Heartbeat Protocol	c15hbeat
Calculation Application Protocol	calcappprotocol
Camel	camel
Controller Area Network over Ethernet	caneth
CANopen	canopen
Control And Provisioning of Wireless Access Points - Control	capwap
Control And Provisioning of Wireless Access Points - Data	capwap.data
Card Application Toolkit ETSI TS 102.223	etsi_cat
Common Address Redundancy Protocol	carp
Cast Client Control Protocol	cast
Catapult DCT2000 packet	dct2000
ETSI Card Application Toolkit Transport Protocol	cattp
PPP Callback Control Protocol	cbcp
No callback	cbcp.opt.no_callback
Callback to a user-specified number	cbcp.opt.callback_user
Callback to a pre-specified or admin-specified number	cbcp.opt.callback_admin
Callback to any of a list of numbers	cbcp.opt.callback_list
Concise Binary Object Representation	cbor
Citizen Broadband Radio Service - Object Identifiers	cbrs_oids
GSM Cell Broadcast Service	gsm_cbs
3GPP/GSM Cell Broadcast Service Protocol	cbsp
Concurrent Connection Packet	cipcc
USB CCID	usbccid
PPP Compression Control Protocol	ccp
OUI	ccp.opt_oui
Predictor type 1	ccp.opt.predict1
Predictor type 2	ccp.opt.predict2
Puddle Jumper	ccp.opt.puddle
Hewlett-Packard PPC	ccp.opt.hpppc
Stac Electronics LZS	ccp.opt.stac
Stac Electronics LZS (Ascend Proprietary version)	ccp.opt.stac_ascend
Microsoft PPE/PPC	ccp.opt.mppe
Gandalf FZA	ccp.opt.gfza
V.42bis compression	ccp.opt.v42bis
BSD LZW Compress	ccp.opt.bsdcomp
LZS-DCP	ccp.opt.lzsdcp
MVRCA (Magnalink)	ccp.opt.mvrca
PPP for Data Compression in Data Circuit-Terminating Equipment (DCE)	ccp.opt.dce
Deflate	ccp.opt.deflate
V.44/LZJH compression	ccp.opt.v44lzjh
CCSDS	ccsds
H.324/CCSRL	ccsrl
CDMA2K	cdma2k
Cisco Discovery Protocol	cdp
PPP CDP Control Protocol	cdpcp
CDS Clerk Server Calls	cds_clerkserver
DCE/RPC CDS Solicitation	cds_solicit
Compressed Data Type	cdt
Common External Message Interface	cemi
Ceph	ceph
PKIX CERT File Format	pkix-cert
Circuit Emulation Service over Ethernet	cesoeth
CFDP	cfdp
CFM EOAM IEEE 802.1Q/ITU-T Y.1731 Protocol	cfm
Cisco Group Management Protocol	cgmp
PPP Challenge Handshake Authentication Protocol	chap
Character Generator Protocol	chargen
